Designator,Mid X,Mid Y,Layer,Rotation
C101,132.715,-40.259,T,180.0
C102,139.065,-35.56,T,0.0
C103,136.525,-39.37,T,90.0
C104,142.748,-35.814,T,180.0
D101,136.525,-36.322,T,270.0
D102,151.13,-37.211,T,0.0
F101,132.715,-42.418,T,180.0
J101,127.304,-39.116,T,270.0
J102,128.42,-48.895,T,270.0
J103,143.51,-50.8,T,0.0
Q101,146.685,-40.64,T,180.0
R101,133.985,-51.435,T,180.0
R102,133.985,-45.085,T,180.0
R103,146.685,-43.815,T,0.0
R104,146.685,-37.465,T,180.0
R105,151.13,-35.687,T,180.0
SW101,150.285,-43.18,T,270.0
U101,133.985,-48.26,T,270.0
U102,133.604,-37.338,T,180.0
U103,140.97,-41.91,T,270.0
